% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
60	51.179344	10.50293	DE	EUW	germany	colt vcloud services	http://www.datacentermap.com/cloud/colt-vcloud-services.html
61	51.179344	10.50293	DE	EUW	germany	Colt managed workspace	http://www.datacentermap.com/cloud/colt-managed-workspace.html
62	51.179344	10.50293	DE	EUW	germany	mesh iaas	http://www.datacentermap.com/cloud/mesh-iaas.html
63	51.179344	10.50293	DE	EUW	germany	yunicon	http://www.datacentermap.com/cloud/yunicon.html
64	51.179344	10.50293	DE	EUW	germany	vpsnine	http://www.datacentermap.com/cloud/vpsnine.html
65	39.074207	21.824312	GR	EUE	greece	bronet virtual infrastructure	http://www.datacentermap.com/cloud/bronet-virtual-infrastructure.html
66	39.074207	21.824312	GR	EUE	greece	lancom vmware	http://www.datacentermap.com/cloud/lancom-vmware.html
67	39.074207	21.824312	GR	EUE	greece	lancom hyper-v	http://www.datacentermap.com/cloud/lancom-hyper-v.html
68	39.074207	21.824312	GR	EUE	greece	lancom openvz	http://www.datacentermap.com/cloud/lancom-openvz.html
69	39.074207	21.824312	GR	EUE	greece	interworks hyperv cloud	http://www.datacentermap.com/cloud/interworks-hyperv-cloud.html
70	22.396427	114.1095	HK	ASP	hong-kong	SuperCloud	http://www.datacentermap.com/cloud/sunnyvision-cloud-server.html
71	22.396427	114.1095	HK	ASP	hong-kong	vps	http://www.datacentermap.com/cloud/vps1.html
72	22.396427	114.1095	HK	ASP	hong-kong	Cloud Dedicated Hosting	http://www.datacentermap.com/cloud/cloud-dedicated-hosting.html
73	22.396427	114.1095	HK	ASP	hong-kong	cloud service 360	http://www.datacentermap.com/cloud/cloud-service-360.html
74	22.396427	114.1095	HK	ASP	hong-kong	super icloud	http://www.datacentermap.com/cloud/super-icloud.html
75	22.396427	114.1095	HK	ASP	hong-kong	computerline cloud	http://www.datacentermap.com/cloud/computerline-cloud.html
76	47.43552	19.588623	HU	EUE	hungary	radixcloud	http://www.datacentermap.com/cloud/radixcloud.html
77	20.632784	78.75	IN	ASS	india	cloud vps	http://www.datacentermap.com/cloud/cloud-vps.html
78	20.632784	78.75	IN	ASS	india	Tata Communications Instacompute	http://www.datacentermap.com/cloud/instacompute.html
