% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
186	54.033585	-4.482422	GB	EUW	united-kingdom	Colt managed workspace	http://www.datacentermap.com/cloud/colt-managed-workspace.html
187	54.033585	-4.482422	GB	EUW	united-kingdom	iomart	http://www.datacentermap.com/cloud/iomart.html
188	54.033585	-4.482422	GB	EUW	united-kingdom	enterprise cloud	http://www.datacentermap.com/cloud/enterprise-cloud.html
189	54.033585	-4.482422	GB	EUW	united-kingdom	virtual server hosting	http://www.datacentermap.com/cloud/virtual-server-hosting.html
190	34.16182	-112.23633	US	NAN	arizona	nucor it solutions	http://www.datacentermap.com/cloud/nucor-it-solutions.html
191	34.16182	-112.23633	US	NAN	arizona	Phoenix NAP Secured Cloud	http://www.datacentermap.com/cloud/secured-cloud.html
192	34.16182	-112.23633	US	NAN	arizona	syptec cloud	http://www.datacentermap.com/cloud/syptec-cloud.html
193	36.66842	-119.9707	US	NAN	california	Atlantic Metro vCLOUD	http://www.datacentermap.com/cloud/amc-cloud.html
194	36.66842	-119.9707	US	NAN	california	iStreet Solutions HA Cloud Service	http://www.datacentermap.com/cloud/istreet-solutions.html
195	36.66842	-119.9707	US	NAN	california	Amazon EC2	http://www.datacentermap.com/cloud/amazon-ec2.html
196	36.66842	-119.9707	US	NAN	california	istreet solutions value cloud	http://www.datacentermap.com/cloud/istreet-solutions-value-cloud.html
197	36.66842	-119.9707	US	NAN	california	ElasticHosts	http://www.datacentermap.com/cloud/elastichosts.html
198	36.66842	-119.9707	US	NAN	california	Linode	http://www.datacentermap.com/cloud/linode.html
199	36.66842	-119.9707	US	NAN	california	GoGrid	http://www.datacentermap.com/cloud/gogrid.html
200	36.66842	-119.9707	US	NAN	california	infiniCloud logicworks	http://www.datacentermap.com/cloud/infinicloud-logicworks.html
201	36.66842	-119.9707	US	NAN	california	syptec cloud	http://www.datacentermap.com/cloud/syptec-cloud.html
202	36.66842	-119.9707	US	NAN	california	iland cloud infrastructure	http://www.datacentermap.com/cloud/iland-cloud-infrastructure.html
203	36.66842	-119.9707	US	NAN	california	navisite europe ltd	http://www.datacentermap.com/cloud/navisite-europe.html
204	36.66842	-119.9707	US	NAN	california	HOSTING	http://www.datacentermap.com/cloud/hosting.html
205	36.66842	-119.9707	US	NAN	california	SolarCloud	http://www.datacentermap.com/cloud/solarcloud.html
206	36.66842	-119.9707	US	NAN	california	scalematrix	http://www.datacentermap.com/cloud/scalematrix.html
207	38.82259	-106.083984	US	NAN	colorado	parsec data management	http://www.datacentermap.com/cloud/parsec-data-management.html
208	38.82259	-106.083984	US	NAN	colorado	HOSTING	http://www.datacentermap.com/cloud/hosting.html
209	38.82259	-106.083984	US	NAN	colorado	FORTRUST	http://www.datacentermap.com/cloud/fortrust.html
210	38.976494	-75.476074	US	NAN	delaware	ipr international - zoneit	http://www.datacentermap.com/cloud/ipr-international-zoneit.html
211	38.976494	-75.476074	US	NAN	delaware	HOSTING	http://www.datacentermap.com/cloud/hosting.html
212	38.889965	-77.01004	US	NAN	district-of-columbia	SoftLayer CloudLayer	http://www.datacentermap.com/cloud/cloudlayer.html
213	28.613459	-83.05664	US	NAN	florida	atlanticnet inc	http://www.datacentermap.com/cloud/atlanticnet-inc.html
214	28.613459	-83.05664	US	NAN	florida	vCloud Express	http://www.datacentermap.com/cloud/vcloudexpress.html
215	28.613459	-83.05664	US	NAN	florida	FlexCloud Servers	http://www.datacentermap.com/cloud/flexcloud-servers.html
216	28.613459	-83.05664	US	NAN	florida	cloud south	http://www.datacentermap.com/cloud/cloud-south.html
217	28.613459	-83.05664	US	NAN	florida	data-tech cloud services	http://www.datacentermap.com/cloud/data-tech-cloud-services.html
218	28.613459	-83.05664	US	NAN	florida	enterprise cloud	http://www.datacentermap.com/cloud/enterprise-cloud.html
219	28.613459	-83.05664	US	NAN	florida	Open Hosting	http://www.datacentermap.com/cloud/east1.html
220	32.472694	-83.49609	US	NAN	georgia	Linode	http://www.datacentermap.com/cloud/linode.html
221	32.472694	-83.49609	US	NAN	georgia	GNAX Cloud	http://www.datacentermap.com/cloud/gnax-cloud.html
222	40.17887	-89.384766	US	NAN	illinois	Atlantic Metro vCLOUD	http://www.datacentermap.com/cloud/amc-cloud.html
223	40.17887	-89.384766	US	NAN	illinois	Rackspace Cloud	http://www.datacentermap.com/cloud/rackspacecloud.html
